key|nickname|description|total_songs|total_playlists|total_friends|song_name|artist|album
10022|라이온|소개글이 없습니다.|282|14|3|Debussy : Claire De Lune (드뷔시 : 달빛)|Libera|The Power And The Glory
10022|라이온|소개글이 없습니다.|282|14|3|あの夏へ / Ano Natsue (어느 여름날)|Hisaishi Joe|센과 치히로의 행방불명 OST
10022|라이온|소개글이 없습니다.|282|14|3|Merry Christmas Mr Lawrence - From `Furyo`|Sakamoto Ryuichi|Les Films Du Siecle
10022|라이온|소개글이 없습니다.|282|14|3|바람의 빛깔|오연준|위키드 Part.1
10022|라이온|소개글이 없습니다.|282|14|3|아빠와 함께 왈츠를 (Duet With 홍수연)|김현철|Kid`s Pop `Love Is...`
10022|라이온|소개글이 없습니다.|282|14|3|미아|박정현|On&On
10022|라이온|소개글이 없습니다.|282|14|3|Come Fly With Me|Michael Buble|Michael Buble
10022|라이온|소개글이 없습니다.|282|14|3|말하는 대로|처진 달팽이 (유재석 & 이적)|무한도전 서해안 고속도로 가요제
10022|라이온|소개글이 없습니다.|282|14|3|난 당신을 원해요 (Je Te Veux / Erik Satie)|Acoustic Cafe|For Your Loneliness (Re-Issue)
10022|라이온|소개글이 없습니다.|282|14|3|Hana-Bi (하나비)|Hisaishi Joe|Joe Hisaishi Meets Kitano
10022|라이온|소개글이 없습니다.|282|14|3|Hit The Road Jack|Ray Charles|Ray Charles
10022|라이온|소개글이 없습니다.|282|14|3|너에게 닿기를 (To You)|정환호|기억의 노래
10022|라이온|소개글이 없습니다.|282|14|3|Don't Be That Way|Benny Goodman Orchestra|Big Bands
10022|라이온|소개글이 없습니다.|282|14|3|Gravity (SBS K팝스타 시즌4 전소현 가창곡)|Sara Bareilles|Little Voice
10022|라이온|소개글이 없습니다.|282|14|3|Rachmaninov : Rhapsody On A Theme Of Paganini Op.43 - Var.XVIII Andante Cantabile (라흐마니노프 : 파가니니 주제에 의한 광시곡 작품번호 43 - 18변주곡)|Sergey Rachmaninov|Sergei Rachmaninoff : Orchestral Works, Piano Concertos And Works, Aleko (세르게이 라흐마니노프 : 오케스트라 작품, 피아노 협주곡과 알레코)
10022|라이온|소개글이 없습니다.|282|14|3|끝내 전하지 못한 말|이적|사랑
10022|라이온|소개글이 없습니다.|282|14|3|Just A Kiss|Lady Antebellum|Just A Kiss
10022|라이온|소개글이 없습니다.|282|14|3|Workflow (Feat. Dumbfoundead)|Jeff Bernat|Modern Renaissance
10022|라이온|소개글이 없습니다.|282|14|3|바람이 불어오는 곳|제이레빗|`명불허전` 김광석 다시듣기
10022|라이온|소개글이 없습니다.|282|14|3|Symphonic Variation Merry-Go-Round|Hisaishi Joe|Works 3
10022|라이온|소개글이 없습니다.|282|14|3|괴수의 노래|박아셀|괴수
10022|라이온|소개글이 없습니다.|282|14|3|How Deep Is The Ocean (Album Ver.)|Bill Evans|Bill Evans : Verve Ultimate Cool
10022|라이온|소개글이 없습니다.|282|14|3|The Piano Duet|Danny Elfman|유령신부 (Tim Burton`s Corpse Bride) OST
10022|라이온|소개글이 없습니다.|282|14|3|사랑하기 때문에|유재하|사랑하기 때문에 Remastering
10022|라이온|소개글이 없습니다.|282|14|3|소녀|이문세|3집
10022|라이온|소개글이 없습니다.|282|14|3|Home|Michael Buble|It`s Time
10022|라이온|소개글이 없습니다.|282|14|3|Without You (Acoustic)|Dami Im|Heart Beats (Deluxe Edit.)
